Year,State,District,AvgSyllabicCount,GDP
1993,Andhra Pradesh,Prakasam,2.9566490426136967,1369.2715490148646
1993,Andhra Pradesh,Anantapur,2.389105452336354,1241.257897428516
1993,Andhra Pradesh,Kurnool,2.142194145220873,1290.005717767837
1993,Andhra Pradesh,Vizianagaram,2.9789922520929752,611.3919701969437
1993,Andhra Pradesh,Krishna,2.743863973123249,3563.882752473067
1993,Andhra Pradesh,Chittoor,1.941648495420846,2124.222616895841
1993,Andhra Pradesh,Guntur,2.8036578607057083,5177.086645249754
1993,Andhra Pradesh,Kadapa,2.8342573209726023,1420.92034129421
1993,Andhra Pradesh,Srikakulam,2.9880313222842347,767.8227739257994
1993,Andhra Pradesh,Visakhapatnam,2.8450926943871333,5859.467718295921
1993,Andhra Pradesh,West Godavari,2.8473776902182024,6620.147414546637
1993,Andhra Pradesh,Nellore,2.856259450675936,1620.296604650398
1993,Andhra Pradesh,East Godavari,2.8879404709225143,5742.1405265677295
1993,Haryana,Panipat,2.787121919086568,2813.0369690543603
1993,Haryana,Jind,2.8602956931647743,1356.1964047474835
1993,Haryana,Fatehabad,3.052948935368381,1682.6625555956934
1993,Haryana,Kaithal,2.9560432569974555,1767.4565052157666
1993,Haryana,Hisar,2.8413757165190203,2423.655349671723
1993,Haryana,Sirsa,3.1348619329388563,816.1420160320455
1993,Haryana,Gurgaon,2.8112247781608546,7820.473751337977
1993,Haryana,Kurukshetra,3.020754716981132,3301.3873020539704
1993,Haryana,Panchkula,2.9608956165247555,2014.379234384409
1993,Haryana,Faridabad,2.8404183988199008,6887.2030649192
1993,Haryana,Jhajjar,2.795992043026597,1594.5395927517554
1993,Haryana,Karnal,2.8628760934345863,3469.3055131846645
1993,Haryana,Yamunanagar,2.9662055127257365,1286.1953350933766
1993,Haryana,Sonipat,2.7717104894320794,2902.0516587315
1993,Haryana,Mahendragarh,2.8545301660710534,1336.999832523514
1993,Haryana,Rohtak,2.784517697919481,2135.8223360989537
1993,Haryana,Bhiwani,2.839667257832953,1551.2587030477137
1993,Haryana,Ambala,3.0577844842890114,2355.554359099146
1993,Haryana,Rewari,2.8051522248243557,2417.921237252333
1993,Himachal Pradesh,Bilaspur,2.759266640095656,881.6208345393726
1993,Himachal Pradesh,Kinnaur,2.7831021437578816,477.38533975849975
1993,Himachal Pradesh,Kangra,2.799183764745346,612.7683084707603
1993,Himachal Pradesh,Solan,2.8808049535603715,966.8074633747341
1993,Himachal Pradesh,Kullu,2.632433386271396,806.0841916997078
1993,Himachal Pradesh,Shimla,2.7665204095200107,827.7155659653805
1993,Himachal Pradesh,Hamirpur,2.9354132843933085,2218.236911490052
1993,Himachal Pradesh,Mandi,2.6642797841427983,1281.2208978229144
1993,Himachal Pradesh,Sirmaur,2.8418585693906664,1195.2912436240624
1993,Himachal Pradesh,Chamba,2.66383246732798,601.8963319599561
1993,Himachal Pradesh,Una,2.8894685990338163,716.5840770709075
1993,Madhya Pradesh,Datia,3.021404041210766,514.7634778933323
1993,Madhya Pradesh,Narsinghpur,2.9826903023983315,1510.6524181156906
1993,Madhya Pradesh,Damoh,3.0184017632887383,673.9604476067437
1993,Madhya Pradesh,Mandsaur,3.2230716210288866,1474.0828113621294
1993,Madhya Pradesh,Dindori,3.0882063398306747,198.75869640159263
1993,Madhya Pradesh,Shahdol,3.0195318636435036,1061.846718035786
1993,Madhya Pradesh,Khandwa,2.9728163191948234,1386.4624148859248
1993,Madhya Pradesh,Harda,2.947760388559093,596.7347867745267
1993,Madhya Pradesh,Ratlam,2.944652767361632,1058.9414205932105
1993,Madhya Pradesh,Sidhi,3.0258812168034765,1807.5909933616608
1993,Madhya Pradesh,Morena,3.023013204866045,1181.0636124646048
1993,Madhya Pradesh,Tikamgarh,3.1990446521287637,630.6147125222517
1993,Madhya Pradesh,Chhindwara,3.1326767266046205,1502.4299953437067
1993,Madhya Pradesh,Indore,2.8270638263073966,6135.825765999392
1993,Madhya Pradesh,Satna,2.914135896875683,1133.273734840151
1993,Madhya Pradesh,Bhopal,2.8408459442691054,1354.5541809085491
1993,Madhya Pradesh,Katni,2.822548304775793,1282.2142437762234
1993,Madhya Pradesh,Panna,2.9855517428210216,474.3052115033275
1993,Madhya Pradesh,Bhind,3.0295000883236183,945.7643200720328
1993,Madhya Pradesh,Mandla,2.9879353827278305,288.75902814335257
1993,Madhya Pradesh,Sheopur,3.0763679619349724,432.9859539455813
1993,Madhya Pradesh,Khargone,2.9949207007359804,541.9387665335514
1993,Madhya Pradesh,Ujjain,2.9841240281204904,1746.4564799207087
1993,Madhya Pradesh,Balaghat,3.1830217550395847,604.5961071540895
1993,Madhya Pradesh,Betul,3.003537988707026,804.3877841889687
1993,Madhya Pradesh,Sagar,2.991746031746032,1091.4012873216943
1993,Madhya Pradesh,Sehore,2.888937814961593,1158.7039365463813
1993,Madhya Pradesh,Raisen,3.009092221099726,1221.5129329130255
1993,Madhya Pradesh,Guna,2.877446658437665,1165.8848725893852
1993,Madhya Pradesh,Chhatarpur,3.2173333333333334,642.3699402697767
1993,Madhya Pradesh,Barwani,2.9718330414477525,583.2242285721679
1993,Madhya Pradesh,Shajapur,3.0594822571262363,1261.5147954337856
1993,Madhya Pradesh,Seoni,3.2556172520661155,1109.3942090921705
1993,Madhya Pradesh,Shivpuri,3.0417708773183487,1165.4268122380695
1993,Madhya Pradesh,Jabalpur,2.8248653428732213,2070.8978661135143
1993,Madhya Pradesh,Neemuch,3.247249631393898,1238.753834824779
1993,Madhya Pradesh,Jhabua,2.7514299436755008,436.8550945227812
