Year,State,District,People,AvgSyllabicCount,Name1,Name2,Name3,Name4,Name5,Name6,Name7,Name8,Name9,Name10
1986,Andaman And Nicobar Islands,Nicobar,558,2.324,Marina,Mary,John,Grace,Justina,Teressa,Maggie,Ruth,Michael,Magdela
1986,Andaman And Nicobar Islands,North And Middle Andaman,2200,2.447,Saw,Anita,Sanjay,Naw,Sanjit,Krishna,Rajesh,Ranjit,Sunita,Ashok
1986,Andaman And Nicobar Islands,South Andaman,4038,2.403,Abdul,Sanjay,Mohammed,Suresh,Anita,Rajesh,Sunita,Sandeep,Pradeep,Rakesh
1986,Andhra Pradesh,Anantapur,54073,3.026,Shaik,Bhaanu,Lakshmi,Lakshmidevi,Golla,Talari,Kuruba,Chakali,Vadde,Harijana
1986,Andhra Pradesh,Chittoor,30029,2.872,Dhanamjay,Lakshmi,Subramanyam,Aekadamt,Shaik,Ramesh,Suresh,Manjula,Janaki,Tirupati
1986,Andhra Pradesh,East Godavari,109211,3.313,Lakshmi,Durga,Venkata,Venkatalakshmi,Shrinu,Nagamani,Rambabu,Varalakshmi,Veera,Veerababu
1986,Andhra Pradesh,Guntur,80881,3.108,Venkata,Lakshmi,Srinivasarao,Siva,Nagaraju,Naga,Suresh,Vijaya,Ramesh,Srinivasa
1986,Andhra Pradesh,Kadapa,51090,3.095,Venkata,Lakshmi,Lakshmidevi,Sreenivasulu,Chinna,Vijaya,Ravi,Chandra,Rama,Naga
1986,Andhra Pradesh,Krishna,68861,3.021,Venkata,Lakshmi,Naga,Nagaraju,Durga,Nagamani,Siva,Suresh,Vijaya,Ramesh
1986,Andhra Pradesh,Kurnool,46573,2.905,Shaik,Bhaanu,Lakshmi,Chinna,Chakali,Kuruva,Golla,Lakshmidevi,Vadde,Talari
1986,Andhra Pradesh,Nellore,48706,3.06,Sreenivasulu,Venkata,Lakshmi,Ramesh,Venkateswarlu,Padma,Enkateshwarlu,Vijaya,Madhavi,Ravi
1986,Andhra Pradesh,Prakasam,46801,3.173,Venkata,Lakshmi,Suresh,Padma,Ramesh,Srinivasarao,Chinna,Sujata,Nagaraju,Vijaya
1986,Andhra Pradesh,Srikakulam,45167,3.123,Lakshmi,Laxmi,Srinivasarao,Sawar,Ramarao,Ramanamma,Savara,Parvathi,Ramesh,Simhachalam
1986,Andhra Pradesh,Visakhapatnam,81795,3.06,Lakshmi,Venkata,Satyavathi,Nagamani,Laxmi,Varalakshmi,Raju,Devi,Ramana,Ramu
1986,Andhra Pradesh,Vizianagaram,36109,3.157,Lakshmi,Satyavathi,Parvathi,Venkata,Ramu,Ramanamma,Simhachalam,Laxmi,Ramesh,Srinivasarao
1986,Andhra Pradesh,West Godavari,60444,3.257,Lakshmi,Venkata,Durga,Ramesh,Venkatalakshmi,Nagamani,Nagaraju,Rambabu,Shrinu,Naga
1986,Arunachal Pradesh,Anjaw,250,2.572,Basanglu,Sagemlu,Gaurav,Baritlum,Chibre,Jeetanglu,Edengso,Soralum,Babinglo,Aklinlum
1986,Arunachal Pradesh,Changlang,1654,2.13,Santosh,Raju,Chow,Rina,Anita,Sunita,Ajay,Uma,Anima,Rita
