Year,State,District,People,AvgSyllabicCount,Name1,Name2,Name3,Name4,Name5,Name6,Name7,Name8,Name9,Name10
1972,Daman And Diu,Diu,563,2.332,Dhani,Manjula,Shanta,Velji,Kanta,Ramji,Ramesh,Babu,Kishor,Dilip
1972,Goa,North Goa,9655,2.471,Sanjay,Maria,Rajesh,Mahesh,Rajendra,Santosh,Prashant,Sandeep,Sunil,Sunita
1972,Goa,South Goa,10598,2.505,Maria,Rajesh,Sanjay,Francisco,Santosh,Antonio,Fatima,Jose,Suresh,Prakash
1972,Haryana,Ambala,9225,2.27,Rama,Sunita,Raj,Rajesh,Paramjit,Kamalesh,Krishna,Rakesh,Surinder,Gurmit
1972,Haryana,Bhiwani,15098,2.206,Sunita,Krishna,Raj,Rajesh,Rama,Suresh,Kamalesh,Santosh,Saroj,Ramesh
1972,Haryana,Faridabad,24561,2.1630000000000003,Rama,Sunita,Raj,Rajesh,Gita,Vijay,Anita,Ashok,Kamalesh,Anil
1972,Haryana,Fatehabad,9282,2.279,Krishna,Rama,Raj,Bimala,Subhash,Sunita,Ramesh,Santosh,Rani,Kamal
1972,Haryana,Gurgaon,17399,2.1919999999999997,Sunita,Rajesh,Rama,Raj,Mukesh,Krishna,Anita,Kamalesh,Suman,Saroj
1972,Haryana,Hisar,12333,2.213,Krishna,Rama,Raj,Sunita,Ramesh,Suresh,Kamalesh,Bimala,Rajesh,Subhash
1972,Haryana,Jhajjar,11128,2.248,Sunita,Rajesh,Krishna,Anita,Mukesh,Saroj,Raj,Suresh,Kamalesh,Satish
1972,Haryana,Jind,12445,2.208,Krishna,Rama,Suresh,Raj,Santosh,Sunita,Kamalesh,Ramesh,Subhash,Shila
1972,Haryana,Kaithal,11723,2.319,Krishna,Kamalesh,Sunita,Rama,Bala,Suresh,Ramesh,Raj,Subhash,Santosh
1972,Haryana,Karnal,14483,2.237,Sunita,Rama,Raj,Krishna,Kamalesh,Saroj,Rajesh,Santosh,Subhash,Ramesh
1972,Haryana,Kurukshetra,11513,2.293,Sunita,Rama,Raj,Kamalesh,Ramesh,Krishna,Paramjit,Suresh,Saroj,Subhash
1972,Haryana,Mahendragarh,9003,2.215,Sunita,Krishna,Rajesh,Mukesh,Saroj,Raj,Ashok,Suresh,Rama,Suman
1972,Haryana,Mewat,8849,2.358,Samina,Mubina,Jakir,Jarina,Hasina,Amina,Rahisa,Jamila,Hasana,Sunita
1972,Haryana,Palwal,9673,2.262,Kamalesh,Sunita,Rama,Raj,Kamal,Gita,Vijay,Suresh,Shyam,Rajendra
1972,Haryana,Panchkula,5655,2.153,Rama,Sunita,Rajesh,Raj,Anita,Saroj,Sima,Anil,Krishna,Kiran
1972,Haryana,Panipat,12008,2.142,Sunita,Rama,Krishna,Raj,Rajesh,Kamalesh,Saroj,Suresh,Ramesh,Anita
1972,Haryana,Rewari,9059,2.126,Sunita,Raj,Krishna,Rajesh,Rama,Saroj,Kamalesh,Suresh,Mukesh,Sushila
1972,Haryana,Rohtak,13496,2.148,Sunita,Raj,Krishna,Rajesh,Anita,Rama,Naresh,Santosh,Kamalesh,Suresh
1972,Haryana,Sirsa,14177,2.346,Krishna,Rama,Raj,Bimala,Subhash,Kamal,Sunita,Paramjit,Saroj,Gurmit
1972,Haryana,Sonipat,14335,2.204,Sunita,Krishna,Raj,Rajesh,Anita,Rama,Naresh,Shila,Kamalesh,Sudesh
1972,Haryana,Yamunanagar,6721,2.256,Sunita,Raj,Rama,Rajesh,Usha,Kamalesh,Jaya,Naresh,Krishna,Saroj
1972,Himachal Pradesh,Bilaspur,4622,1.996,Ram,Raj,Sunita,Nirmal,Kamal,Kanta,Mira,Rajesh,Prem,Rakesh
1972,Himachal Pradesh,Chamba,5716,1.858,Kamal,Raj,Ramesh,Vina,Asha,Bina,Mana,Pavan,Vimal,Darshan
1972,Himachal Pradesh,Hamirpur,6365,2.115,Sunita,Raj,Vina,Rakesh,Nilam,Kamalesh,Pavan,Rajesh,Vijay,Santosh
1972,Himachal Pradesh,Kangra,18551,2.052,Pavan,Sunita,Vina,Raj,Suman,Asha,Vijay,Nilam,Anita,Kamalesh
1972,Himachal Pradesh,Kinnaur,1000,2.009,Ram,Krishna,Raj,Jaya,Indra,Kamal,Deva,Vidya,Prem,Shiva
1972,Himachal Pradesh,Kullu,4743,1.805,Ram,Kamal,Prem,Nirmal,Vimal,Hira,Tara,Leela,Amar,Ramesh
1972,Himachal Pradesh,Lahaul And Spiti,351,2.041,Randeep,Prem,Sonam,Kamal,Padama,Dolam,Ram,Rajesh,Tashi,Nagma
1972,Himachal Pradesh,Mandi,9579,1.848,Kamal,Ram,Mira,Krishna,Nirmal,Ramesh,Prem,Mina,Vimal,Leela
1972,Himachal Pradesh,Shimla,8354,1.885,Ram,Kamal,Ramesh,Prem,Krishna,Asha,Sunita,Pushpa,Mina,Rajendra
1972,Himachal Pradesh,Sirmaur,4141,2.031,Ram,Kamal,Satya,Ramesh,Sunita,Rajendra,Nirmal,Shila,Indra,Jaya
1972,Himachal Pradesh,Solan,4980,1.9080000000000001,Ram,Sunita,Nirmal,Krishna,Ramesh,Prem,Mina,Kamal,Gita,Bimal
1972,Himachal Pradesh,Una,5083,2.234,Raj,Sameer,Ram,Rakesh,Nilam,Asha,Vijay,Pavan,Rajesh,Anita
1972,Madhya Pradesh,Agar Malwa,2619,2.14,Mohan,Leela,Prem,Ram,Munna,Gita,Kamala,Bhagvan,Sugan,Prabhu
1972,Madhya Pradesh,Alirajpur,2827,1.911,Ramesh,Kali,Ram,Shankar,Nana,Sura,Bhurali,Basanti,Naval,Basant
1972,Madhya Pradesh,Anuppur,9613,2.315,Ram,Munni,Shyam,Gita,Sushil,Prem,Phoola,Mira,Mohan,Hira
1972,Madhya Pradesh,Ashoknagar,8674,2.144,Munni,Ram,Guddi,Raj,Gita,Kamala,Kala,Phoola,Shila,Leela
1972,Madhya Pradesh,Balaghat,17575,2.37,Ram,Ramesh,Lakshmi,Kamala,Raj,Ashok,Gita,Pramila,Nirmal,Imala
1972,Madhya Pradesh,Barwani,8231,1.9780000000000002,Ramesh,Ram,Kamala,Leela,Mohan,Jagdish,Kala,Durga,Kailash,Suman
1972,Madhya Pradesh,Betul,13186,2.18,Kamala,Ram,Ramesh,Munni,Munna,Sushil,Sunita,Raju,Rekha,Nirmal
1972,Madhya Pradesh,Bhind,10924,2.347,Ram,Munni,Mira,Sunita,Usha,Shila,Kamlesh,Rajendra,Kamala,Gita
1972,Madhya Pradesh,Bhopal,20205,2.15,Ram,Rajesh,Sunita,Raj,Gita,Ramesh,Sanjay,Kamala,Ashok,Lakshmi
1972,Madhya Pradesh,Burhanpur,9482,2.303,Shobha,Sheetal,Kamala,Mira,Ramesh,Leela,Suresh,Nirmal,Kailash,Mangala
1972,Madhya Pradesh,Chhatarpur,20910,2.086,Ram,Raj,Munni,Prem,Munna,Hari,Phoola,Babu,Hari,Shila
1972,Madhya Pradesh,Chhindwara,17469,2.259,Ram,Raj,Ramesh,Suresh,Shiva,Sunita,Kamala,Ashok,Lakshmi,Sushil
1972,Madhya Pradesh,Damoh,10828,2.29,Ram,Munna,Santosh,Raj,Kamala,Mamata,Lakshmi,Saroj,Prem,Ashok
1972,Madhya Pradesh,Datia,8273,2.224,Ram,Munni,Mira,Raj,Kamala,Gita,Shila,Ramesh,Usha,Mamata
1972,Madhya Pradesh,Dewas,20295,2.228,Kamala,Sugan,Krishna,Prem,Leela,Jagdish,Gita,Kala,Mohan,Ramesh
1972,Madhya Pradesh,Dhar,10252,2.215,Kamala,Ramesh,Leela,Kala,Mohan,Ram,Kailash,Gita,Jagdish,Santosh
1972,Madhya Pradesh,Dindori,3051,2.0580000000000003,Ram,Phoola,Shiva,Munni,Lamiya,Shyam,Raj,Ramkali,Hari,Ramesh
1972,Madhya Pradesh,Guna,12115,2.165,Ram,Munni,Gita,Kamala,Ramesh,Leela,Babu,Phoola,Prem,Kailash
1972,Madhya Pradesh,Gwalior,32605,2.293,Ram,Munni,Kamala,Mira,Gita,Sunita,Raj,Rajendra,Mina,Ashok
1972,Madhya Pradesh,Harda,4786,2.383,Ram,Santosh,Mahesh,Ashok,Om,Sushil,Jagdish,Kailash,Rekha,Krishna
1972,Madhya Pradesh,Hoshangabad,11582,2.2969999999999997,Ram,Kamala,Sunita,Krishna,Ashok,Santosh,Lakshmi,Rajesh,Mahesh,Suresh
1972,Madhya Pradesh,Indore,34478,2.295,Rajesh,Sunita,Kamala,Sanjay,Anita,Raju,Ram,Rekha,Ashok,Sangita
1972,Madhya Pradesh,Jabalpur,26437,1.889,Ram,Munni,Raj,Munna,Maya,Kamala,Mamata,Gita,Lakshmi,Radha
1972,Madhya Pradesh,Jhabua,9007,1.9080000000000001,Ramesh,Kali,Babu,Kalu,Ram,Leela,Bhuri,Mana,Kala,Kamali
1972,Madhya Pradesh,Katni,12275,1.935,Ram,Raj,Munni,Shyam,Ramesh,Kamala,Mamata,Gita,Mira,Phoola
1972,Madhya Pradesh,Khandwa,20241,2.1590000000000003,Ram,Lakshmi,Kailash,Kamala,Santosh,Ramesh,Suman,Kusum,Rekha,Sushil
1972,Madhya Pradesh,Khargone,22126,2.2430000000000003,Kamala,Ram,Ramesh,Lakshmi,Durga,Radha,Kailash,Suman,Jagdish,Radheshyama
1972,Madhya Pradesh,Mandla,8657,1.985,Ram,Munni,Shiva,Raj,Shyam,Munna,Lakshmi,Kamala,Santosh,Krishna
1972,Madhya Pradesh,Mandsaur,15440,2.25,Gopal,Leela,Mohan,Ram,Mangi,Radheshyama,Kala,Kamala,Jagdish,Ramkanya
1972,Madhya Pradesh,Morena,12982,2.354,Munni,Ram,Mira,Kamala,Suresh,Shila,Gita,Guddi,Sunita,Rajendra
1972,Madhya Pradesh,Narsinghpur,8302,2.0780000000000003,Ram,Munni,Mamata,Gita,Lakshmi,Hari,Kamala,Rajesh,Ashok,Santosh
1972,Madhya Pradesh,Neemuch,4867,2.395,Gopal,Shanti,Mohan,Mangi,Shyam,Gita,Kamala,Babu,Leela,Munni
1972,Madhya Pradesh,Panna,9673,2.191,Ram,Raj,Munni,Kamala,Maya,Gita,Ramesh,Shiva,Shyam,Munna
1972,Madhya Pradesh,Raisen,12275,2.2430000000000003,Ram,Munni,Kamala,Ramesh,Hari,Gita,Munna,Lakshmi,Krishna,Mohan
1972,Madhya Pradesh,Rajgarh,12988,2.194,Prem,Ram,Leela,Krishna,Kamala,Mangi,Gita,Dhapu,Ramesh,Badri
1972,Madhya Pradesh,Ratlam,17950,2.2159999999999997,Shanti,Mohan,Leela,Ramesh,Babu,Kala,Sugan,Mangu,Shankar,Ram
1972,Madhya Pradesh,Rewa,22623,2.426,Ram,Munni,Raj,Gita,Sunita,Asha,Saroj,Rajendra,Sushil,Savitri
1972,Madhya Pradesh,Sagar,24197,2.386,Ram,Raj,Munna,Kamala,Lakshmi,Kamalrani,Radharani,Santosh,Ramesh,Sarojrani
1972,Madhya Pradesh,Satna,12418,2.0540000000000003,Ram,Raj,Munni,Gita,Shiva,Shyam,Sunita,Rajesh,Rajendra,Santosh
1972,Madhya Pradesh,Sehore,11953,2.2030000000000003,Kamala,Ram,Krishna,Sugan,Gita,Prem,Ramesh,Babu,Leela,Mohan
1972,Madhya Pradesh,Seoni,8478,2.213,Ram,Shyam,Kamala,Munni,Raj,Shiva,Lakshmi,Gita,Mahesh,Rajak
1972,Madhya Pradesh,Shahdol,14354,2.168,Munni,Ram,Shyam,Prem,Gita,Nana,Sunita,Ramkali,Phoola,Babu
1972,Madhya Pradesh,Shajapur,3846,2.385,Babu,Krishna,Sugan,Leela,Kamala,Ram,Radheshyama,Prem,Soham,Mangi
1972,Madhya Pradesh,Sheopur,10002,2.392,Ram,Babu,Ramesh,Gita,Prem,Ramswaroop,Kamala,Mangi,Munni,Siyaram
1972,Madhya Pradesh,Shivpuri,11005,2.35,Ram,Munni,Gita,Kamala,Ramesh,Parth,Vimal,Suresh,Guddi,Ramvati
1972,Madhya Pradesh,Sidhi,14917,2.588,Ram,Munni,Ramkali,Raj,Shyamkali,Chote,Shyam,Gita,Sushil,Sunita
1972,Madhya Pradesh,Singrauli,12462,2.615,Ram,Phoolmati,Raj,Chote,Sonamati,Shiva,Munni,Shyam,Sita,Manit
1972,Madhya Pradesh,Tikamgarh,12296,2.292,Ram,Munni,Munna,Phoola,Shila,Ramesh,Raj,Kamala,Prem,Hari
1972,Madhya Pradesh,Ujjain,23349,2.302,Raju,Kamala,Mohan,Sugan,Leela,Babu,Ram,Gita,Shyam,Teju
