Year,State,District,In-migrants
1972 - 1976,Uttar Pradesh,Agra,61037
1972 - 1976,Uttar Pradesh,Aligarh,64612
1972 - 1976,Uttar Pradesh,Allahabad,115103
1972 - 1976,Uttar Pradesh,Badaun,54310
1972 - 1976,Uttar Pradesh,Banda,47724
1972 - 1976,Uttar Pradesh,Barabanki,42698
1972 - 1976,Uttar Pradesh,Bareilly,68880
1972 - 1976,Uttar Pradesh,Bijnor,60152
1972 - 1976,Uttar Pradesh,Bulandshahr,36684
1972 - 1976,Uttar Pradesh,Etah,58658
1972 - 1976,Uttar Pradesh,Etawah,39605
1972 - 1976,Uttar Pradesh,Faizabad,66008
1972 - 1976,Uttar Pradesh,Farrukhabad,44539
1972 - 1976,Uttar Pradesh,Fatehpur,56199
1972 - 1976,Uttar Pradesh,Firozabad,44232
1972 - 1976,Uttar Pradesh,Ghaziabad,46102
1972 - 1976,Uttar Pradesh,Hamirpur,31019
1972 - 1976,Uttar Pradesh,Hardoi,71231
1972 - 1976,Uttar Pradesh,Jalaun,27690
1972 - 1976,Uttar Pradesh,Jhansi,41880
1972 - 1976,Uttar Pradesh,Kanpur Rural,44909
1972 - 1976,Uttar Pradesh,Kanpur Urban,46289
1972 - 1976,Uttar Pradesh,Kheri,40060
1972 - 1976,Uttar Pradesh,Lalitpur,16876
1972 - 1976,Uttar Pradesh,Lucknow,71801
1972 - 1976,Uttar Pradesh,Mainpuri,33783
1972 - 1976,Uttar Pradesh,Mathura,49053
1972 - 1976,Uttar Pradesh,Mau,31736
1972 - 1976,Uttar Pradesh,Meerut,58883
1972 - 1976,Uttar Pradesh,Moradabad,60991
1972 - 1976,Uttar Pradesh,Muzaffarnagar,74139
1972 - 1976,Uttar Pradesh,Pilibhit,30893
1972 - 1976,Uttar Pradesh,Pratapgarh,59356
1972 - 1976,Uttar Pradesh,Rae Bareli,56524
1972 - 1976,Uttar Pradesh,Rampur,29520
1972 - 1976,Uttar Pradesh,Saharanpur,53804
1972 - 1976,Uttar Pradesh,Shahjahanpur,39632
1972 - 1976,Uttar Pradesh,Sitapur,69289
1972 - 1976,Uttar Pradesh,Sultanpur,62180
1972 - 1976,Uttar Pradesh,Unnao,60656
1972 - 1976,Uttarakhand,Chamoli,11779
1972 - 1976,Uttarakhand,Dehradun,40564
1972 - 1976,Uttarakhand,Haridwar,37272
1972 - 1976,Uttarakhand,Nainital,68997
1972 - 1976,Uttarakhand,Pauri Garhwal,13187
1972 - 1976,Uttarakhand,Uttarkashi,5086
1977 - 1981,Andaman And Nicobar Islands,Andamans,15321
1977 - 1981,Andaman And Nicobar Islands,Nicobar,1556
1977 - 1981,Andhra Pradesh,Anantapur,107593
1977 - 1981,Andhra Pradesh,Chittoor,108662
1977 - 1981,Andhra Pradesh,East Godavari,181680
1977 - 1981,Andhra Pradesh,Guntur,155231
1977 - 1981,Andhra Pradesh,Kadapa,73423
1977 - 1981,Andhra Pradesh,Krishna,157118
1977 - 1981,Andhra Pradesh,Kurnool,98904
1977 - 1981,Andhra Pradesh,Nellore,88358
1977 - 1981,Andhra Pradesh,Prakasam,78682
1977 - 1981,Andhra Pradesh,Srikakulam,73331
