Year,State,District,AvgSyllabicCount,In-migrants
1982 - 1986,Madhya Pradesh,Damoh,2.3219253548405034,47266
1982 - 1986,Madhya Pradesh,Datia,2.1691267843897406,16909
1982 - 1986,Madhya Pradesh,Dewas,2.2118446561748377,61815
1982 - 1986,Madhya Pradesh,Dhar,2.1527319095439816,67749
1982 - 1986,Madhya Pradesh,Guna,2.2424686549406694,57882
1982 - 1986,Madhya Pradesh,Gwalior,2.2621705300177277,60173
1982 - 1986,Madhya Pradesh,Hoshangabad,2.189513301360176,72580
1982 - 1986,Madhya Pradesh,Indore,2.335689080015607,95750
1982 - 1986,Madhya Pradesh,Jabalpur,2.628199406904759,129429
1982 - 1986,Madhya Pradesh,Jhabua,1.8793163056170288,44592
1982 - 1986,Madhya Pradesh,Khandwa,2.3342906076941223,78934
1982 - 1986,Madhya Pradesh,Khargone,2.5698054035865314,100017
1982 - 1986,Madhya Pradesh,Mandla,2.1850250484657776,54993
1982 - 1986,Madhya Pradesh,Mandsaur,2.5232370337786336,75370
1982 - 1986,Madhya Pradesh,Morena,2.3213074192008634,76360
1982 - 1986,Madhya Pradesh,Narsinghpur,2.2030933563463053,38004
1982 - 1986,Madhya Pradesh,Panna,2.220528890671749,30366
1982 - 1986,Madhya Pradesh,Raisen,2.2509968132047597,46413
1982 - 1986,Madhya Pradesh,Rajgarh,2.27394384968123,38744
1982 - 1986,Madhya Pradesh,Ratlam,2.213355854799149,47921
1982 - 1986,Madhya Pradesh,Rewa,2.3467143417067646,57485
1982 - 1986,Madhya Pradesh,Sagar,2.340039382214054,82132
1982 - 1986,Madhya Pradesh,Satna,2.172560497167228,59810
1982 - 1986,Madhya Pradesh,Sehore,2.200532268519181,37343
1982 - 1986,Madhya Pradesh,Seoni,2.2670232733185225,50859
1982 - 1986,Madhya Pradesh,Shahdol,2.453333366170879,90445
1982 - 1986,Madhya Pradesh,Shajapur,2.319502420220211,47822
1982 - 1986,Madhya Pradesh,Shivpuri,2.2811626012134782,38169
1982 - 1986,Madhya Pradesh,Sidhi,2.4599820526740657,72424
1982 - 1986,Madhya Pradesh,Tikamgarh,2.3327616748120823,36097
1982 - 1986,Madhya Pradesh,Ujjain,2.262723725516076,70251
1982 - 1986,Madhya Pradesh,Vidisha,2.2220405888132087,48695
1982 - 1986,Manipur,Bishnupur,2.547276901,1567
1982 - 1986,Manipur,Chandel,2.5366396894000003,2464
1982 - 1986,Manipur,Churachandpur,2.7028257168,3085
1982 - 1986,Manipur,Imphal West,2.5616892726,6568
1982 - 1986,Manipur,Senapati,2.3522187976,1649
1982 - 1986,Manipur,Tamenglong,2.9897083698,671
1982 - 1986,Manipur,Thoubal,2.5522538716,1000
1982 - 1986,Manipur,Ukhrul,2.5531959938,437
1982 - 1986,Meghalaya,East Garo Hills,2.3920127133920976,3640
1982 - 1986,Meghalaya,East Khasi Hills,2.6036511369267403,16443
1982 - 1986,Meghalaya,West Garo Hills,2.4470198591937784,12199
1982 - 1986,Meghalaya,West Jaintia Hills,2.2841771335205565,4860
1982 - 1986,Meghalaya,West Khasi Hills,2.681798432546278,3536
1982 - 1986,Mizoram,Aizawl,3.5644523766000002,13893
1982 - 1986,Mizoram,Lawngtlai,2.9546022572000004,2848
1982 - 1986,Mizoram,Lunglei,3.3760650522000004,8729
1982 - 1986,Nagaland,Kohima,2.983059603777643,16945
1982 - 1986,Nagaland,Mokokchung,3.606265179748231,2419
1982 - 1986,Nagaland,Mon,1.9433315046806212,1676
1982 - 1986,Nagaland,Phek,2.966339528488505,1203
1982 - 1986,Nagaland,Tuensang,2.423425312132999,2965
1982 - 1986,Nagaland,Wokha,2.815763245108509,1636
1982 - 1986,Nagaland,Zunheboto,2.9259044177597793,764
1982 - 1986,Puducherry,Karaikal,3.3615607708000006,8184
1982 - 1986,Puducherry,Mahe,2.4504188576,1980
1982 - 1986,Puducherry,Puducherry,3.3278914400000006,34132
1982 - 1986,Puducherry,Yanam,3.0200311766000008,2282
1982 - 1986,Uttar Pradesh,Agra,2.3515924249613707,74299
1982 - 1986,Uttar Pradesh,Aligarh,2.5161101242785837,87779
1982 - 1986,Uttar Pradesh,Allahabad,2.6485220490664205,136532
1982 - 1986,Uttar Pradesh,Badaun,2.416483545735522,69052
1982 - 1986,Uttar Pradesh,Banda,2.3806213315446088,57514
1982 - 1986,Uttar Pradesh,Barabanki,2.376535798469678,41080
1982 - 1986,Uttar Pradesh,Bareilly,2.5031850068702144,85000
1982 - 1986,Uttar Pradesh,Bijnor,2.56573382527349,79639
1982 - 1986,Uttar Pradesh,Bulandshahr,2.3786417252899588,51030
1982 - 1986,Uttar Pradesh,Etah,2.4302809468189945,75933
1982 - 1986,Uttar Pradesh,Etawah,2.5622449507059963,42355
1982 - 1986,Uttar Pradesh,Faizabad,2.4398973816372664,73985
1982 - 1986,Uttar Pradesh,Farrukhabad,2.538731613561876,55424
1982 - 1986,Uttar Pradesh,Fatehpur,2.345819177230998,65025
1982 - 1986,Uttar Pradesh,Firozabad,2.3338159060365133,53924
1982 - 1986,Uttar Pradesh,Ghaziabad,2.5873293885232265,77220
1982 - 1986,Uttar Pradesh,Hamirpur,2.373179527900793,39736
1982 - 1986,Uttar Pradesh,Hardoi,2.444716490901616,90415
1982 - 1986,Uttar Pradesh,Jalaun,2.3136395993100916,32750
1982 - 1986,Uttar Pradesh,Jhansi,2.4478750073557385,57139
1982 - 1986,Uttar Pradesh,Kanpur Rural,2.2468185846253284,50858
1982 - 1986,Uttar Pradesh,Kanpur Urban,2.1666641793738224,69715
1982 - 1986,Uttar Pradesh,Kheri,2.388164791737984,45163
1982 - 1986,Uttar Pradesh,Lalitpur,2.6317908376622947,23740
1982 - 1986,Uttar Pradesh,Lucknow,2.4648878162471934,115224
1982 - 1986,Uttar Pradesh,Mainpuri,2.2724207293717003,42533
1982 - 1986,Uttar Pradesh,Mathura,2.1811172600610806,72722
1982 - 1986,Uttar Pradesh,Mau,2.4041582494305374,36930
1982 - 1986,Uttar Pradesh,Meerut,2.4311843376760156,78552
1982 - 1986,Uttar Pradesh,Moradabad,2.3521176182123504,72706
1982 - 1986,Uttar Pradesh,Muzaffarnagar,2.560551116005695,102631
1982 - 1986,Uttar Pradesh,Pilibhit,2.3333632439933085,40380
1982 - 1986,Uttar Pradesh,Pratapgarh,2.282240843098918,66209
1982 - 1986,Uttar Pradesh,Rae Bareli,2.2215908817118053,74455
1982 - 1986,Uttar Pradesh,Rampur,2.4803885580738902,36852
1982 - 1986,Uttar Pradesh,Saharanpur,2.534116807399516,73116
1982 - 1986,Uttar Pradesh,Shahjahanpur,2.447913380902412,49868
1982 - 1986,Uttar Pradesh,Sitapur,2.4279170950845104,76814
1982 - 1986,Uttar Pradesh,Sultanpur,2.3794030997307134,69408
1982 - 1986,Uttar Pradesh,Unnao,2.336434348415891,79143
1982 - 1986,Uttarakhand,Chamoli,2.0447620094000003,15494
1982 - 1986,Uttarakhand,Dehradun,2.021919315,70733
1982 - 1986,Uttarakhand,Haridwar,2.2055466374,49815
1982 - 1986,Uttarakhand,Nainital,2.5782718981186132,94592
1982 - 1986,Uttarakhand,Pauri Garhwal,2.0474767988,20979
1982 - 1986,Uttarakhand,Uttarkashi,2.2022530602000003,8110
1987 - 1991,Andhra Pradesh,Anantapur,2.9476223604,187545
1987 - 1991,Andhra Pradesh,Chittoor,2.7855025328,196325
1987 - 1991,Andhra Pradesh,East Godavari,3.1445836888,317140
1987 - 1991,Andhra Pradesh,Guntur,2.979619797,256360
1987 - 1991,Andhra Pradesh,Kadapa,2.9611551456000003,143780
1987 - 1991,Andhra Pradesh,Krishna,2.8808074826000003,265082
1987 - 1991,Andhra Pradesh,Kurnool,2.8450539666000005,158448
1987 - 1991,Andhra Pradesh,Nellore,2.970653368,170886
1987 - 1991,Andhra Pradesh,Prakasam,3.0750282174,144107
1987 - 1991,Andhra Pradesh,Srikakulam,3.0644515228,122130
1987 - 1991,Andhra Pradesh,Visakhapatnam,2.9880315019999997,256134
1987 - 1991,Andhra Pradesh,Vizianagaram,3.0588427488,118976
1987 - 1991,Andhra Pradesh,West Godavari,3.0895171056,268538
1987 - 1991,Arunachal Pradesh,Changlang,2.1319254226,11376
1987 - 1991,Arunachal Pradesh,Dibang Valley,2.19213207,9274
1987 - 1991,Arunachal Pradesh,East Kameng,1.9217439676,3385
1987 - 1991,Arunachal Pradesh,East Siang,1.9956213172,8589
1987 - 1991,Arunachal Pradesh,Lohit,2.3202689656,22272
1987 - 1991,Arunachal Pradesh,Lower Subansiri,1.7979861068000005,22247
1987 - 1991,Arunachal Pradesh,Papum Pare,1.9739688112,22247
1987 - 1991,Arunachal Pradesh,Tawang,1.8808063786,2142
1987 - 1991,Arunachal Pradesh,Tirap,2.0153825112,7419
1987 - 1991,Arunachal Pradesh,Upper Subansiri,1.8983926466,4775
1987 - 1991,Arunachal Pradesh,West Kameng,1.9262769600000005,7456
1987 - 1991,Arunachal Pradesh,West Siang,1.8724826122,12038
1987 - 1991,Chandigarh,Chandigarh,2.5745353640410347,108539
1987 - 1991,Dadra And Nagar Haveli,Dadra And Nagar Haveli,2.2938349076324505,11801
1987 - 1991,Daman And Diu,Daman,2.29466357170477,11537
1987 - 1991,Daman And Diu,Diu,2.329225245522644,1511
1987 - 1991,Goa,North Goa,2.3437584719999998,66937
1987 - 1991,Goa,South Goa,2.371498052,49778
1987 - 1991,Haryana,Ambala,2.5804397999750863,96489
1987 - 1991,Haryana,Bhiwani,2.226380880596521,40743
1987 - 1991,Haryana,Faridabad,2.397607346694273,112376
1987 - 1991,Haryana,Gurgaon,2.449619962829011,101521
1987 - 1991,Haryana,Hisar,2.5866216985365367,98744
1987 - 1991,Haryana,Jind,2.228526261555972,43937
1987 - 1991,Haryana,Kaithal,2.273289009882323,33386
1987 - 1991,Haryana,Karnal,2.24742311306314,43593
1987 - 1991,Haryana,Kurukshetra,2.2947791987735466,31819
1987 - 1991,Haryana,Mahendragarh,2.2112853914142754,25550
1987 - 1991,Haryana,Panipat,2.1539706073575573,70538
1987 - 1991,Haryana,Rewari,2.1794824855778403,29093
1987 - 1991,Haryana,Rohtak,2.472080089459402,77080
1987 - 1991,Haryana,Sirsa,2.3863219351982665,73780
1987 - 1991,Haryana,Sonipat,2.162461071889228,44930
1987 - 1991,Haryana,Yamunanagar,2.3107523536316563,40873
1987 - 1991,Himachal Pradesh,Bilaspur,2.050236754688993,16963
1987 - 1991,Himachal Pradesh,Chamba,1.9364062009805003,26768
1987 - 1991,Himachal Pradesh,Hamirpur,2.0366532296557707,25199
1987 - 1991,Himachal Pradesh,Kangra,2.553595319494484,77357
1987 - 1991,Himachal Pradesh,Kinnaur,2.06567493155494,8261
1987 - 1991,Himachal Pradesh,Kullu,1.8861400579060688,16775
1987 - 1991,Himachal Pradesh,Lahaul And Spiti,2.164806478031585,3390
1987 - 1991,Himachal Pradesh,Mandi,1.919936502647685,42998
1987 - 1991,Himachal Pradesh,Shimla,2.041086189215491,59130
1987 - 1991,Himachal Pradesh,Sirmaur,2.092598939725744,26443
1987 - 1991,Himachal Pradesh,Solan,2.092240180695473,42946
1987 - 1991,Himachal Pradesh,Una,2.1597880318291844,24047
1987 - 1991,Madhya Pradesh,Balaghat,2.329815535993144,72982
1987 - 1991,Madhya Pradesh,Betul,2.265639073165304,61720
1987 - 1991,Madhya Pradesh,Bhind,2.194000811109192,56204
1987 - 1991,Madhya Pradesh,Bhopal,2.4317435166804926,116851
1987 - 1991,Madhya Pradesh,Chhatarpur,2.2496121909332314,43304
1987 - 1991,Madhya Pradesh,Chhindwara,2.5959175991958308,96107
1987 - 1991,Madhya Pradesh,Damoh,2.286268497490597,48862
1987 - 1991,Madhya Pradesh,Datia,2.2327336550008923,18080
1987 - 1991,Madhya Pradesh,Dewas,2.1772306059408133,69894
1987 - 1991,Madhya Pradesh,Dhar,2.5050283142722876,92735
1987 - 1991,Madhya Pradesh,Guna,2.177725327662768,63191
1987 - 1991,Madhya Pradesh,Gwalior,2.2224903028088234,73544
1987 - 1991,Madhya Pradesh,Hoshangabad,2.5409131814828343,86714
1987 - 1991,Madhya Pradesh,Indore,2.385777127772332,114187
1987 - 1991,Madhya Pradesh,Jabalpur,2.520027547268324,140954
1987 - 1991,Madhya Pradesh,Jhabua,1.8990992574578371,51157
1987 - 1991,Madhya Pradesh,Khandwa,2.4625109492815307,92723
1987 - 1991,Madhya Pradesh,Khargone,2.696752474825221,115269
1987 - 1991,Madhya Pradesh,Mandla,2.191809904820716,67280
1987 - 1991,Madhya Pradesh,Mandsaur,2.5703113371476984,81237
1987 - 1991,Madhya Pradesh,Morena,2.5662373098525375,82126
1987 - 1991,Madhya Pradesh,Narsinghpur,2.194201357298537,42996
1987 - 1991,Madhya Pradesh,Panna,2.1978745303548197,28710
1987 - 1991,Madhya Pradesh,Raisen,2.2127088682929026,56449
1987 - 1991,Madhya Pradesh,Rajgarh,2.2342509704129703,46372
1987 - 1991,Madhya Pradesh,Ratlam,2.1781835555148588,49918
1987 - 1991,Madhya Pradesh,Rewa,2.3085399716459616,57172
1987 - 1991,Madhya Pradesh,Sagar,2.597187908344675,91698
1987 - 1991,Madhya Pradesh,Satna,2.157781135104762,61463
1987 - 1991,Madhya Pradesh,Sehore,2.149372475986892,40820
1987 - 1991,Madhya Pradesh,Seoni,2.2136908096504544,62448
1987 - 1991,Madhya Pradesh,Shahdol,2.3484048717433295,97813
1987 - 1991,Madhya Pradesh,Shajapur,2.260673557597754,52741
1987 - 1991,Madhya Pradesh,Shivpuri,2.269968705007978,42789
1987 - 1991,Madhya Pradesh,Sidhi,2.5567632199054646,76541
1987 - 1991,Madhya Pradesh,Tikamgarh,2.2874319220798704,37478
1987 - 1991,Madhya Pradesh,Ujjain,2.157563074566604,68331
1987 - 1991,Madhya Pradesh,Vidisha,2.234299431443967,55036
1987 - 1991,Manipur,Bishnupur,2.5561580436,1468
1987 - 1991,Manipur,Chandel,2.5022489744,1983
1987 - 1991,Manipur,Churachandpur,2.707748739,3525
1987 - 1991,Manipur,Imphal West,2.5638313078,7328
1987 - 1991,Manipur,Senapati,2.3790052628,1173
1987 - 1991,Manipur,Tamenglong,3.0360967482,661
1987 - 1991,Manipur,Thoubal,2.5133837556000005,867
1987 - 1991,Manipur,Ukhrul,2.573313502,352
1987 - 1991,Meghalaya,East Garo Hills,2.3827048967383027,4479
1987 - 1991,Meghalaya,East Khasi Hills,2.6860139057420223,25793
1987 - 1991,Meghalaya,West Garo Hills,2.440028714167049,16341
1987 - 1991,Meghalaya,West Jaintia Hills,2.419348376189784,6862
1987 - 1991,Meghalaya,West Khasi Hills,2.7723139135602017,4308
1987 - 1991,Mizoram,Aizawl,3.5125289024000006,18805
1987 - 1991,Mizoram,Lawngtlai,2.9525142276,3449
1987 - 1991,Mizoram,Lunglei,3.3169551660000005,9750
1987 - 1991,Nagaland,Kohima,3.03351767008143,20683
1987 - 1991,Nagaland,Mokokchung,3.5994998977632804,3026
1987 - 1991,Nagaland,Mon,1.939371108835277,2094
1987 - 1991,Nagaland,Phek,2.927038267996044,2087
1987 - 1991,Nagaland,Tuensang,2.482202112718661,3711
1987 - 1991,Nagaland,Wokha,2.8416465766006054,1880
1987 - 1991,Nagaland,Zunheboto,2.93789931469239,935
1987 - 1991,Puducherry,Karaikal,3.2743235192,11088
1987 - 1991,Puducherry,Mahe,2.4275784014000004,2277
1987 - 1991,Puducherry,Puducherry,3.3020727140000004,44232
1987 - 1991,Puducherry,Yanam,3.032437302,2800
1987 - 1991,Uttar Pradesh,Agra,2.1909658370397453,74030
1987 - 1991,Uttar Pradesh,Aligarh,2.617298723992514,89015
1987 - 1991,Uttar Pradesh,Allahabad,2.5414275847525,130213
1987 - 1991,Uttar Pradesh,Badaun,2.395816361756502,75343
1987 - 1991,Uttar Pradesh,Banda,2.4614416434440565,53787
1987 - 1991,Uttar Pradesh,Barabanki,2.2600293161226666,39500
1987 - 1991,Uttar Pradesh,Bareilly,2.460303573374454,98273
1987 - 1991,Uttar Pradesh,Bijnor,2.537594631046714,77450
1987 - 1991,Uttar Pradesh,Bulandshahr,2.2547248324972493,52131
1987 - 1991,Uttar Pradesh,Etah,2.4320870977249927,79810
1987 - 1991,Uttar Pradesh,Etawah,2.2065103882244097,45090
1987 - 1991,Uttar Pradesh,Faizabad,2.505802864242935,63475
1987 - 1991,Uttar Pradesh,Farrukhabad,2.29922184827182,51822
1987 - 1991,Uttar Pradesh,Fatehpur,2.3188061353756257,66313
1987 - 1991,Uttar Pradesh,Firozabad,2.2552018461102556,59611
1987 - 1991,Uttar Pradesh,Ghaziabad,2.4004373753671233,101965
1987 - 1991,Uttar Pradesh,Hamirpur,2.3063634279006644,38486
1987 - 1991,Uttar Pradesh,Hardoi,2.5390921251523246,87180
1987 - 1991,Uttar Pradesh,Jalaun,2.231596766025976,34414
1987 - 1991,Uttar Pradesh,Jhansi,2.2752663551093644,66533
1987 - 1991,Uttar Pradesh,Kanpur Rural,2.234223602298578,51319
1987 - 1991,Uttar Pradesh,Kanpur Urban,2.5276316392444684,79530
1987 - 1991,Uttar Pradesh,Kheri,2.3044593830083637,44670
1987 - 1991,Uttar Pradesh,Lalitpur,2.512041010449715,24639
1987 - 1991,Uttar Pradesh,Lucknow,2.685020648616471,138739
1987 - 1991,Uttar Pradesh,Mainpuri,2.2632921414037743,40848
1987 - 1991,Uttar Pradesh,Mathura,2.364474885041353,80605
1987 - 1991,Uttar Pradesh,Mau,2.1778473115667487,36054
1987 - 1991,Uttar Pradesh,Meerut,2.4541624132918822,81330
1987 - 1991,Uttar Pradesh,Moradabad,2.271287095461936,72498
1987 - 1991,Uttar Pradesh,Muzaffarnagar,2.573795053281885,106584
1987 - 1991,Uttar Pradesh,Pilibhit,2.333923689985987,42620
1987 - 1991,Uttar Pradesh,Pratapgarh,2.2214289936743645,64088
1987 - 1991,Uttar Pradesh,Rae Bareli,2.2364188828146565,73268
1987 - 1991,Uttar Pradesh,Rampur,2.3752000540257616,42458
1987 - 1991,Uttar Pradesh,Saharanpur,2.520309838378132,76090
1987 - 1991,Uttar Pradesh,Shahjahanpur,2.3828040277123548,54292
1987 - 1991,Uttar Pradesh,Sitapur,2.415960524863211,79153
1987 - 1991,Uttar Pradesh,Sultanpur,2.2784280821748726,67783
1987 - 1991,Uttar Pradesh,Unnao,2.6087639840517904,75045
1987 - 1991,Uttarakhand,Chamoli,2.0562447286000003,22251
1987 - 1991,Uttarakhand,Dehradun,2.5448374784524894,97990
1987 - 1991,Uttarakhand,Haridwar,2.1951525316,60104
1987 - 1991,Uttarakhand,Nainital,2.3616501154851997,111769
1987 - 1991,Uttarakhand,Pauri Garhwal,2.0324700918,28700
1987 - 1991,Uttarakhand,Uttarkashi,2.1795464825999997,11387
1992 - 1996,Andhra Pradesh,Anantapur,2.878708589661275,220243
1992 - 1996,Andhra Pradesh,Chittoor,3.1787952774825006,259945
1992 - 1996,Andhra Pradesh,East Godavari,3.1334023662795407,398495
1992 - 1996,Andhra Pradesh,Guntur,2.946520154439867,254575
1992 - 1996,Andhra Pradesh,Kadapa,2.8250905098000003,173328
1992 - 1996,Andhra Pradesh,Krishna,3.178737592965911,345552
1992 - 1996,Andhra Pradesh,Kurnool,3.1983260024659605,205461
1992 - 1996,Andhra Pradesh,Nellore,2.9852406147810706,225433
1992 - 1996,Andhra Pradesh,Prakasam,2.9411306112000006,184077
1992 - 1996,Andhra Pradesh,Srikakulam,2.9866287546,149301
1992 - 1996,Andhra Pradesh,Visakhapatnam,2.884732643207339,264754
1992 - 1996,Andhra Pradesh,Vizianagaram,2.959283222,141172
1992 - 1996,Andhra Pradesh,West Godavari,3.005337980333849,336280
1992 - 1996,Arunachal Pradesh,Changlang,2.1356701846,17365
1992 - 1996,Arunachal Pradesh,Dibang Valley,2.1378000876,15230
1992 - 1996,Arunachal Pradesh,East Kameng,1.9436314636,6308
1992 - 1996,Arunachal Pradesh,East Siang,2.0090449626,11088
1992 - 1996,Arunachal Pradesh,Lohit,2.3425721596000004,28256
1992 - 1996,Arunachal Pradesh,Lower Subansiri,1.8283568166,8722
1992 - 1996,Arunachal Pradesh,Papum Pare,1.9532858504,26262
1992 - 1996,Arunachal Pradesh,Tawang,1.8950423696,3979
1992 - 1996,Arunachal Pradesh,Tirap,2.0042786118,11712
1992 - 1996,Arunachal Pradesh,Upper Siang,1.9612139914,5478
1992 - 1996,Arunachal Pradesh,Upper Subansiri,1.8968451194,7842
1992 - 1996,Arunachal Pradesh,West Kameng,1.9365901942,13128
1992 - 1996,Arunachal Pradesh,West Siang,1.8815464158,11741
1992 - 1996,Chandigarh,Chandigarh,2.5784125183774598,165875
1992 - 1996,Dadra And Nagar Haveli,Dadra And Nagar Haveli,2.285812540512203,26979
1992 - 1996,Daman And Diu,Daman,2.2731817712102744,19863
1992 - 1996,Daman And Diu,Diu,2.3295882839027677,3586
1992 - 1996,Goa,North Goa,2.568177849024451,127539
1992 - 1996,Goa,South Goa,2.5910785374337757,88989
1992 - 1996,Haryana,Ambala,2.3585542777323303,116546
1992 - 1996,Haryana,Bhiwani,2.336700655478375,86023
1992 - 1996,Haryana,Faridabad,2.855804819755648,250567
1992 - 1996,Haryana,Fatehabad,2.3340886318459284,55184
1992 - 1996,Haryana,Gurgaon,2.584597701260724,168778
1992 - 1996,Haryana,Hisar,2.3558439393364954,130229
1992 - 1996,Haryana,Jhajjar,2.1046027458091685,69378
1992 - 1996,Haryana,Jind,2.526919742187226,85120
1992 - 1996,Haryana,Kaithal,2.285743814913547,55579
1992 - 1996,Haryana,Karnal,2.3989368081792484,92112
1992 - 1996,Haryana,Kurukshetra,2.325004490773124,60063
1992 - 1996,Haryana,Mahendragarh,2.176170678550509,43785
1992 - 1996,Haryana,Panchkula,2.6099493315685067,104309
1992 - 1996,Haryana,Panipat,2.5972953821015654,113381
1992 - 1996,Haryana,Rewari,2.116970060566131,60978
1992 - 1996,Haryana,Rohtak,2.420500045522698,77559
1992 - 1996,Haryana,Sirsa,2.398539706346472,99683
1992 - 1996,Haryana,Sonipat,2.509080909226184,84107
1992 - 1996,Haryana,Yamunanagar,2.2940975901767393,59538
1992 - 1996,Himachal Pradesh,Bilaspur,2.0610649188531167,16525
1992 - 1996,Himachal Pradesh,Chamba,1.9642886891173708,26198
1992 - 1996,Himachal Pradesh,Hamirpur,2.0688016245682066,25695
1992 - 1996,Himachal Pradesh,Kangra,2.318421014821796,108666
1992 - 1996,Himachal Pradesh,Kinnaur,2.108608942851255,12778
1992 - 1996,Himachal Pradesh,Kullu,1.9661692621219156,23541
1992 - 1996,Himachal Pradesh,Lahaul And Spiti,2.200194494761504,3918
1992 - 1996,Himachal Pradesh,Mandi,1.9543465731238183,50937
1992 - 1996,Himachal Pradesh,Shimla,2.078835331031852,68920
1992 - 1996,Himachal Pradesh,Sirmaur,2.135365157116847,29282
1992 - 1996,Himachal Pradesh,Solan,2.174676969790527,68653
1992 - 1996,Himachal Pradesh,Una,2.195567519768685,44269
1992 - 1996,Madhya Pradesh,Balaghat,2.5970274124539374,89838
1992 - 1996,Madhya Pradesh,Barwani,2.0921911444566867,67351
1992 - 1996,Madhya Pradesh,Betul,2.207810154876109,73939
1992 - 1996,Madhya Pradesh,Bhind,2.1405535051375795,61848
1992 - 1996,Madhya Pradesh,Bhopal,2.530295998714596,152960
1992 - 1996,Madhya Pradesh,Chhatarpur,2.264145784860088,66495
1992 - 1996,Madhya Pradesh,Chhindwara,2.446990726484314,106769
1992 - 1996,Madhya Pradesh,Damoh,2.2199894359259256,58564
1992 - 1996,Madhya Pradesh,Datia,2.159227806000932,21610
1992 - 1996,Madhya Pradesh,Dewas,2.5788268334656563,85105
1992 - 1996,Madhya Pradesh,Dhar,2.6983954152543688,112955
1992 - 1996,Madhya Pradesh,Dindori,2.206104694574472,22815
1992 - 1996,Madhya Pradesh,Guna,2.5626233571600214,78737
1992 - 1996,Madhya Pradesh,Gwalior,2.4852357612817313,109897
1992 - 1996,Madhya Pradesh,Harda,2.1869314002809563,40919
1992 - 1996,Madhya Pradesh,Hoshangabad,2.5718315297018965,92354
1992 - 1996,Madhya Pradesh,Indore,2.4348945492874616,192365
1992 - 1996,Madhya Pradesh,Jabalpur,2.546044642485455,136718
1992 - 1996,Madhya Pradesh,Jhabua,1.9218161964386464,60845
1992 - 1996,Madhya Pradesh,Katni,2.0830254315819423,53969
1992 - 1996,Madhya Pradesh,Khandwa,2.6952060539820564,134281
1992 - 1996,Madhya Pradesh,Khargone,2.5856038400548167,140262
1992 - 1996,Madhya Pradesh,Mandla,2.150385287739951,61890
1992 - 1996,Madhya Pradesh,Mandsaur,2.3622796381579083,96526
1992 - 1996,Madhya Pradesh,Morena,2.098435503255877,71959
1992 - 1996,Madhya Pradesh,Narsinghpur,2.1650285674720418,61392
1992 - 1996,Madhya Pradesh,Neemuch,2.1685102677799497,43487
1992 - 1996,Madhya Pradesh,Panna,2.1524186627940525,33523
1992 - 1996,Madhya Pradesh,Raisen,2.1501951707929443,60444
1992 - 1996,Madhya Pradesh,Rajgarh,2.1405229465597366,51116
1992 - 1996,Madhya Pradesh,Ratlam,2.1340558898404014,68773
1992 - 1996,Madhya Pradesh,Rewa,2.189880433311115,72305
1992 - 1996,Madhya Pradesh,Sagar,2.5756528789248705,112839
1992 - 1996,Madhya Pradesh,Satna,2.3012317434320697,77651
1992 - 1996,Madhya Pradesh,Sehore,2.1747474610271884,52172
1992 - 1996,Madhya Pradesh,Seoni,2.215523432857533,68420
1992 - 1996,Madhya Pradesh,Shahdol,2.504134244541789,103694
1992 - 1996,Madhya Pradesh,Shajapur,2.399118201573716,75847
1992 - 1996,Madhya Pradesh,Sheopur,2.2359114940327998,26755
1992 - 1996,Madhya Pradesh,Shivpuri,2.189120724927404,52978
1992 - 1996,Madhya Pradesh,Sidhi,2.459449673377868,103651
1992 - 1996,Madhya Pradesh,Tikamgarh,2.267718005528987,47194
1992 - 1996,Madhya Pradesh,Ujjain,2.44739070425432,89914
1992 - 1996,Madhya Pradesh,Umaria,2.1368665681346948,32888
1992 - 1996,Madhya Pradesh,Vidisha,2.1766973044922464,64318
1992 - 1996,Manipur,Bishnupur,2.5247076474,1454
1992 - 1996,Manipur,Chandel,2.5420928930000004,2811
1992 - 1996,Manipur,Churachandpur,2.7324913662,3471
1992 - 1996,Manipur,Imphal East,2.5683165272,6704
1992 - 1996,Manipur,Imphal West,2.557275263,8099
1992 - 1996,Manipur,Senapati,2.381690988,3091
1992 - 1996,Manipur,Tamenglong,3.0814883336000003,656
1992 - 1996,Manipur,Thoubal,2.4494162862,2539
1992 - 1996,Manipur,Ukhrul,2.5912064353999997,591
1992 - 1996,Meghalaya,East Garo Hills,2.3821173146276866,1073
1992 - 1996,Meghalaya,East Khasi Hills,2.771311457309245,16233
1992 - 1996,Meghalaya,Ri Bhoi,2.62365209396536,2856
1992 - 1996,Meghalaya,South Garo Hills,2.3865414007894974,1383
1992 - 1996,Meghalaya,West Garo Hills,2.4371461401142147,13176
1992 - 1996,Meghalaya,West Jaintia Hills,2.620414983829385,6327
1992 - 1996,Meghalaya,West Khasi Hills,2.8766445419334143,3933
1992 - 1996,Mizoram,Aizawl,3.4599940362,24214
1992 - 1996,Mizoram,Champhai,3.746537264,7153
1992 - 1996,Mizoram,Kolasib,3.4873579338,5974
1992 - 1996,Mizoram,Lawngtlai,2.8988326438,3591
1992 - 1996,Mizoram,Lunglei,3.3268575772,12364
1992 - 1996,Mizoram,Mamit,3.301733108,3804
1992 - 1996,Mizoram,Saiha,3.0154770486,1972
1992 - 1996,Mizoram,Serchhip,3.6881053176,1883
1992 - 1996,Nagaland,Dimapur,2.8626386748326293,18719
1992 - 1996,Nagaland,Kohima,3.101733406754414,21765
