Year,State,District,AvgSyllabicCount,In-migrants
1972 - 1976,Madhya Pradesh,Shivpuri,2.300338460118129,32339
1972 - 1976,Madhya Pradesh,Sidhi,2.595765929372651,47611
1972 - 1976,Madhya Pradesh,Tikamgarh,2.2418954537481985,27421
1972 - 1976,Madhya Pradesh,Ujjain,2.3501701270826376,48972
1972 - 1976,Madhya Pradesh,Vidisha,2.18713857946441,35001
1972 - 1976,Manipur,Bishnupur,2.5564048446000003,1466
1972 - 1976,Manipur,Chandel,2.526345977,1500
1972 - 1976,Manipur,Churachandpur,2.6933116046000003,1699
1972 - 1976,Manipur,Imphal West,2.5723727282,4382
1972 - 1976,Manipur,Senapati,2.2951109692,1114
1972 - 1976,Manipur,Tamenglong,2.986834052,351
1972 - 1976,Manipur,Thoubal,2.572908843,838
1972 - 1976,Manipur,Ukhrul,2.5229849642,345
1972 - 1976,Meghalaya,East Garo Hills,2.3651101566751103,2120
1972 - 1976,Meghalaya,East Khasi Hills,2.445620383706826,10169
1972 - 1976,Meghalaya,West Garo Hills,2.430094257507064,8468
1972 - 1976,Meghalaya,West Jaintia Hills,2.1129946421946086,3510
1972 - 1976,Meghalaya,West Khasi Hills,2.4947898744037698,2083
1972 - 1976,Mizoram,Aizawl,3.583816625,7401
1972 - 1976,Mizoram,Lawngtlai,2.9055122918,2164
1972 - 1976,Mizoram,Lunglei,3.3433249202,7316
1972 - 1976,Nagaland,Kohima,2.9076168511647618,10466
1972 - 1976,Nagaland,Mokokchung,3.620013815075663,1442
1972 - 1976,Nagaland,Mon,1.954844748262002,648
1972 - 1976,Nagaland,Phek,2.9803947882892787,465
1972 - 1976,Nagaland,Tuensang,2.377937912736012,1178
1972 - 1976,Nagaland,Wokha,2.8190629361293102,933
1972 - 1976,Nagaland,Zunheboto,2.8257707906532934,395
1972 - 1976,Puducherry,Karaikal,3.4311085792,5562
1972 - 1976,Puducherry,Mahe,2.5309570809999995,1154
1972 - 1976,Puducherry,Puducherry,3.3543163906,20184
1972 - 1976,Puducherry,Yanam,3.0583176034000004,922
1972 - 1976,Uttar Pradesh,Agra,2.468644383561584,61037
1972 - 1976,Uttar Pradesh,Aligarh,2.649240354228721,64612
1972 - 1976,Uttar Pradesh,Allahabad,2.5757547732838755,115103
1972 - 1976,Uttar Pradesh,Badaun,2.537726037392366,54310
1972 - 1976,Uttar Pradesh,Banda,2.644322327958103,47724
1972 - 1976,Uttar Pradesh,Barabanki,2.436010734188605,42698
1972 - 1976,Uttar Pradesh,Bareilly,2.4457655342634017,68880
1972 - 1976,Uttar Pradesh,Bijnor,2.4402837380763573,60152
1972 - 1976,Uttar Pradesh,Bulandshahr,2.4657895664393035,36684
1972 - 1976,Uttar Pradesh,Etah,2.6066933026071357,58658
1972 - 1976,Uttar Pradesh,Etawah,2.8711607848096268,39605
1972 - 1976,Uttar Pradesh,Faizabad,2.5678630659204256,66008
1972 - 1976,Uttar Pradesh,Farrukhabad,2.6598463508845342,44539
1972 - 1976,Uttar Pradesh,Fatehpur,2.4124257237658826,56199
