Year,State,District,People,Avg. Syllabic Count
1993,Mizoram,Mamit,2170,3.333640552995392
1993,Mizoram,Saiha,1196,1.9590301003344481
1993,Mizoram,Serchhip,1872,3.243589743589743
1993,Uttar Pradesh,Agra,106265,2.8616007151931493
1993,Uttar Pradesh,Aligarh,73925,2.880798106188705
1993,Uttar Pradesh,Allahabad,120289,2.808802134858549
1993,Uttar Pradesh,Auraiyya,30772,2.8050500454959053
1993,Uttar Pradesh,Bagpat,26679,2.8257805764833765
1993,Uttar Pradesh,Barabanki,68021,2.8282442186971672
1993,Uttar Pradesh,Bareilly,95651,2.909441615874377
1993,Uttar Pradesh,Bijnor,94274,2.8488130343466915
1993,Uttar Pradesh,Bulandshahr,74030,2.883898419559638
1993,Uttar Pradesh,Chitrakoot,21375,3.1796023391812867
1993,Uttar Pradesh,Etah,38431,2.8714058962816478
1993,Uttar Pradesh,Faizabad,2197,3.0487027765134282
1993,Uttar Pradesh,Farrukhabad,42867,2.9532040963911634
1993,Uttar Pradesh,Fatehpur,55771,2.978734467734127
1993,Uttar Pradesh,Firozabad,55635,2.8458524310236366
1993,Uttar Pradesh,Gautam Buddh Nagar,37965,2.829843276702226
1993,Uttar Pradesh,Ghaziabad,62718,2.814837845594566
1993,Uttar Pradesh,Hamirpur,28334,2.9354132843933085
1993,Uttar Pradesh,Hardoi,69855,2.9121465893636818
1993,Uttar Pradesh,Jalaun,34643,2.871402592154259
1993,Uttar Pradesh,Jhansi,38247,2.97076894919863
1993,Uttar Pradesh,Kannauj,29668,2.915059997303492
1993,Uttar Pradesh,Kanpur Rural,34268,2.8536243725925066
1993,Uttar Pradesh,Kanpur Urban,80702,2.7873039082054967
1993,Uttar Pradesh,Kaushambi,34914,2.8964885146359625
1993,Uttar Pradesh,Kheri,84673,2.941008349769112
1993,Uttar Pradesh,Lalitpur,32819,3.140954934641518
1993,Uttar Pradesh,Lucknow,96511,2.7640372600014507
1993,Uttar Pradesh,Mahoba,17535,3.1005988023952096
1993,Uttar Pradesh,Mainpuri,38934,2.8850105306415985
1993,Uttar Pradesh,Mathura,51962,2.9179977675993998
1993,Uttar Pradesh,Mau,43,2.8372093023255816
1993,Uttar Pradesh,Meerut,71094,2.8080147410470646
1993,Uttar Pradesh,Moradabad,75578,2.8417793537802005
1993,Uttar Pradesh,Muzaffarnagar,67994,2.845236344383328
1993,Uttar Pradesh,Pilibhit,53890,2.929708665800705
1993,Uttar Pradesh,Pratapgarh,70822,2.8391883877891053
1993,Uttar Pradesh,Rae Bareli,42025,2.8801903628792385
1993,Uttar Pradesh,Rampur,64357,2.9770188169119134
1993,Uttar Pradesh,Saharanpur,84416,2.9020327899924183
1993,Uttar Pradesh,Shahjahanpur,65371,3.0409508803597927
1993,Uttar Pradesh,Sitapur,94388,2.940352587193287
1993,Uttar Pradesh,Sultanpur,44043,2.875144744908385
1993,Uttar Pradesh,Unnao,55896,2.863067124660083
1993,Uttarakhand,Bageshwar,4284,2.749766573295985
1993,Uttarakhand,Chamoli,316,2.8037974683544302
1993,Uttarakhand,Dehradun,30993,2.8284451327719164
1993,Uttarakhand,Nainital,7336,2.774263904034896
1993,Uttarakhand,Pauri Garhwal,13403,2.8226516451540697
1993,Uttarakhand,Udham Singh Nagar,1127,2.9183673469387754
1993,Uttarakhand,Uttarkashi,4629,2.950097213220998
1994,Andhra Pradesh,Anantapur,70614,2.50511230067692
1994,Andhra Pradesh,Chittoor,57620,2.016851787573759
1994,Andhra Pradesh,East Godavari,80228,2.826955676322481
1994,Andhra Pradesh,Guntur,80312,2.7834321147524648
1994,Andhra Pradesh,Kadapa,43844,2.823966791351154
1994,Andhra Pradesh,Krishna,64246,2.71358528157395
1994,Andhra Pradesh,Kurnool,69806,2.2544193908833052
1994,Andhra Pradesh,Nellore,44598,2.824566124041437
1994,Andhra Pradesh,Prakasam,50177,2.9383582119297684
1994,Andhra Pradesh,Srikakulam,46928,2.974556767814524
1994,Andhra Pradesh,Visakhapatnam,67950,2.8134363502575424
1994,Andhra Pradesh,Vizianagaram,35923,2.958355371210645
1994,Andhra Pradesh,West Godavari,66178,2.7900057420895163
1994,Haryana,Ambala,10229,3.0526933229054647
1994,Haryana,Bhiwani,21928,2.8376960963152134
1994,Haryana,Faridabad,26644,2.85178651854076
1994,Haryana,Fatehabad,15206,3.0647112981717743
1994,Haryana,Gurgaon,16444,2.808197518851861
1994,Haryana,Hisar,17964,2.838399020262748
1994,Haryana,Jhajjar,12239,2.799738540730452
1994,Haryana,Jind,17983,2.8664850136239783
1994,Haryana,Kaithal,15191,2.9589230465407157
1994,Haryana,Karnal,20813,2.88175659443617
1994,Haryana,Kurukshetra,13458,3.0193193639470945
1994,Haryana,Mahendragarh,13368,2.839093357271095
1994,Haryana,Panchkula,5644,2.9741318214032595
